,,,,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2122,Mallorca,Leonardo Román,ESP,GK,21.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,13,0.0,0.0,5.0,-5.0,-2.5,-1.89,2.4,2.8,-0.4,-0.18,0.03
ESP-La Liga,2122,Mallorca,Manolo Reina,ESP,GK,36.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,13,1.3,25.0,31.0,-6.0,-0.29,0.95,17.2,26.4,-9.2,-0.44,-0.5
ESP-La Liga,2122,Mallorca,Marc Carmona Tormo,ESP,DF,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Marcos Fernández Cózar,,DF,,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Martin Valjent,SVK,DF,25.0,36,3181.0,88.0,93.0,35.3,36,88.0,34,0,,1,1.08,36.0,59.0,-23.0,-0.65,0.86,38.2,44.1,-5.9,-0.17,0.65
ESP-La Liga,2122,Mallorca,Matthew Hoppe,USA,FW,20.0,5,131.0,26.0,3.8,1.5,1,58.0,0,4,18.0,20,0.2,1.0,5.0,-4.0,-2.75,-2.12,0.8,2.7,-1.8,-1.26,-1.09
ESP-La Liga,2122,Mallorca,Miguelito,ESP,DF,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Opponent Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,80.0,239,175,23.0,246,1.03,63.0,36.0,27.0,0.71,,48.2,40.1,8.1,0.21,
ESP-La Liga,2122,Mallorca,Pablo Gálvez,ESP,FW,19.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Pablo Maffeo,ESP,DF,24.0,35,2945.0,84.0,86.1,32.7,35,84.0,26,0,,0,1.11,33.0,47.0,-14.0,-0.43,2.04,31.9,41.1,-9.1,-0.28,-0.48
ESP-La Liga,2122,Mallorca,Pere Joan,ESP,GK,19.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Rodrigo Battaglia,ARG,MF,30.0,26,1179.0,45.0,34.5,13.1,12,83.0,7,14,13.0,10,1.35,11.0,25.0,-14.0,-1.07,-0.55,12.1,23.0,-10.9,-0.83,-0.94
ESP-La Liga,2122,Mallorca,Salva Sevilla,ESP,MF,37.0,28,1507.0,54.0,44.1,16.7,17,73.0,1,11,23.0,6,0.96,19.0,29.0,-10.0,-0.6,0.2,21.1,18.0,3.1,0.18,0.71
ESP-La Liga,2122,Mallorca,Sergio Rico,ESP,GK,27.0,14,1260.0,90.0,36.8,14.0,14,90.0,14,0,,4,0.86,15.0,29.0,-14.0,-1.0,-0.46,18.1,18.1,0.0,0.0,0.33
ESP-La Liga,2122,Mallorca,Squad Total,,,27.9,38,3420.0,90.0,100.0,38.0,418,82.0,237,178,20.0,273,1.03,36.0,63.0,-27.0,-0.71,,40.1,48.2,-8.1,-0.21,
ESP-La Liga,2122,Mallorca,Takefusa Kubo,JPN,"FW,MF",20.0,28,1605.0,57.0,46.9,17.8,17,78.0,3,11,26.0,1,1.04,20.0,33.0,-13.0,-0.73,-0.03,20.6,22.0,-1.4,-0.08,0.26
ESP-La Liga,2122,Mallorca,Tomás Giaquinto,ARG,MF,21.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Vedat Muriqi,KVX,FW,27.0,16,1438.0,90.0,42.0,16.0,16,90.0,15,0,,0,1.19,18.0,28.0,-10.0,-0.63,0.15,19.5,20.1,-0.7,-0.04,0.29
ESP-La Liga,2122,Mallorca,Victor Mollejo,ESP,MF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Mallorca,Ángel Rodríguez,ESP,FW,34.0,29,1544.0,53.0,45.1,17.2,19,68.0,1,10,25.0,4,0.9,18.0,25.0,-7.0,-0.41,0.55,19.7,23.5,-3.8,-0.22,-0.02
ESP-La Liga,2122,Osasuna,Ante Budimir,CRO,FW,30.0,28,1738.0,62.0,50.8,19.3,20,79.0,9,8,20.0,2,1.07,18.0,24.0,-6.0,-0.31,0.12,19.9,23.7,-3.8,-0.19,0.03
ESP-La Liga,2122,Osasuna,Aridane Hernández,EQG,DF,32.0,15,1159.0,77.0,33.9,12.9,12,88.0,11,3,33.0,6,1.4,16.0,22.0,-6.0,-0.47,-0.15,15.5,20.4,-4.9,-0.38,-0.26
ESP-La Liga,2122,Osasuna,Barbero,ESP,"MF,FW",22.0,6,21.0,4.0,0.6,0.2,0,,0,6,4.0,22,0.83,2.0,3.0,-1.0,-4.29,-3.94,1.3,2.1,-0.8,-3.55,-3.36
ESP-La Liga,2122,Osasuna,Dario Ramos,ESP,GK,21.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
ESP-La Liga,2122,Osasuna,Darko Brašanac,SRB,MF,29.0,35,2405.0,69.0,70.3,26.7,27,83.0,13,8,20.0,1,1.23,27.0,34.0,-7.0,-0.26,0.36,24.7,30.8,-6.1,-0.23,-0.07
ESP-La Liga,2122,Osasuna,David García,ESP,DF,27.0,35,3105.0,89.0,90.8,34.5,35,89.0,34,0,,1,1.34,37.0,45.0,-8.0,-0.23,1.48,35.7,40.5,-4.8,-0.14,0.75
ESP-La Liga,2122,Osasuna,Ezequiel Ávila,ARG,"FW,MF",27.0,36,1870.0,52.0,54.7,20.8,22,73.0,2,14,19.0,0,1.22,21.0,22.0,-1.0,-0.05,0.71,18.4,26.4,-8.1,-0.39,-0.4
ESP-La Liga,2122,Osasuna,Iker Benito,ESP,"MF,FW",18.0,4,118.0,30.0,3.5,1.3,1,66.0,0,3,17.0,6,1.0,0.0,4.0,-4.0,-3.05,-2.78,1.2,4.0,-2.8,-2.13,-1.99
ESP-La Liga,2122,Osasuna,Iñigo Pérez,ESP,MF,33.0,10,338.0,34.0,9.9,3.8,4,66.0,0,6,12.0,28,1.3,2.0,7.0,-5.0,-1.33,-1.07,3.4,7.2,-3.9,-1.03,-0.91
ESP-La Liga,2122,Osasuna,Jaume Grau,ESP,MF,24.0,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,10,3.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,-0.49,-0.28
ESP-La Liga,2122,Osasuna,Javi Martínez,ESP,MF,21.0,26,879.0,34.0,25.7,9.8,9,67.0,1,17,16.0,12,1.46,13.0,16.0,-3.0,-0.31,0.08,10.3,15.7,-5.4,-0.55,-0.46
ESP-La Liga,2122,Osasuna,Javier Ontiveros,ESP,"MF,FW",23.0,3,39.0,13.0,1.1,0.4,0,,0,3,13.0,10,0.0,0.0,2.0,-2.0,-4.62,-4.3,0.1,2.1,-1.9,-4.48,-4.31
ESP-La Liga,2122,Osasuna,Jesús Areso,ESP,DF,22.0,3,188.0,63.0,5.5,2.1,2,86.0,1,1,16.0,15,1.0,2.0,5.0,-3.0,-1.44,-1.13,1.1,4.7,-3.7,-1.75,-1.63
ESP-La Liga,2122,Osasuna,Jon Moncayola,ESP,MF,23.0,36,2915.0,81.0,85.2,32.4,33,86.0,21,3,22.0,1,1.22,30.0,41.0,-11.0,-0.34,0.2,30.6,37.3,-6.7,-0.21,0.01
ESP-La Liga,2122,Osasuna,Jonás Ramalho,ESP,DF,28.0,3,243.0,81.0,7.1,2.7,3,81.0,1,0,,23,0.67,1.0,2.0,-1.0,-0.37,0.0,2.0,2.7,-0.7,-0.28,-0.07
ESP-La Liga,2122,Osasuna,José Ángel,ESP,DF,31.0,23,1083.0,47.0,31.7,12.0,12,78.0,4,11,13.0,12,1.04,14.0,20.0,-6.0,-0.5,-0.19,13.8,20.7,-6.9,-0.58,-0.54
ESP-La Liga,2122,Osasuna,Juan Cruz Armada,ESP,DF,29.0,23,1934.0,84.0,56.5,21.5,22,87.0,19,1,12.0,9,1.13,19.0,27.0,-8.0,-0.37,-0.01,18.0,20.3,-2.2,-0.1,0.25
ESP-La Liga,2122,Osasuna,Juan Pérez,ESP,GK,25.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,31,0.5,1.0,3.0,-2.0,-1.0,-0.67,1.1,2.4,-1.3,-0.64,-0.46
ESP-La Liga,2122,Osasuna,Kike,ESP,FW,31.0,33,1862.0,56.0,54.4,20.7,18,83.0,8,15,25.0,1,1.27,20.0,30.0,-10.0,-0.48,-0.25,22.4,22.4,0.0,0.0,0.46
ESP-La Liga,2122,Osasuna,Kike Barja,ESP,"MF,FW",24.0,21,865.0,41.0,25.3,9.6,9,72.0,0,12,18.0,7,0.81,6.0,11.0,-5.0,-0.52,-0.2,10.7,8.8,1.9,0.2,0.55
ESP-La Liga,2122,Osasuna,Lucas Torró,ESP,MF,27.0,33,2725.0,83.0,79.7,30.3,32,85.0,22,1,18.0,2,1.3,27.0,36.0,-9.0,-0.3,0.35,28.3,29.4,-1.1,-0.04,0.85
ESP-La Liga,2122,Osasuna,Manuel Sánchez,ESP,DF,20.0,33,2257.0,68.0,66.0,25.1,25,85.0,14,8,17.0,3,1.36,24.0,29.0,-5.0,-0.2,0.5,23.6,25.9,-2.3,-0.09,0.35
ESP-La Liga,2122,Osasuna,Nacho Vidal,ESP,DF,26.0,35,2902.0,83.0,84.9,32.2,33,87.0,27,2,10.0,1,1.31,32.0,40.0,-8.0,-0.25,0.79,32.8,35.1,-2.2,-0.07,0.93
ESP-La Liga,2122,Osasuna,Oier Sanjurjo,ESP,MF,35.0,25,758.0,30.0,22.2,8.4,8,70.0,1,17,11.0,12,1.58,11.0,15.0,-4.0,-0.47,-0.14,9.4,13.5,-4.1,-0.49,-0.36
ESP-La Liga,2122,Osasuna,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,248,170,21.0,243,1.24,51.0,37.0,14.0,0.37,,45.2,37.2,8.0,0.21,
ESP-La Liga,2122,Osasuna,Pau Martínez,ESP,FW,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Osasuna,Robert Ibáñez,ESP,MF,28.0,4,93.0,23.0,2.7,1.0,1,57.0,0,3,12.0,10,0.75,3.0,4.0,-1.0,-0.97,-0.62,1.9,2.0,-0.2,-0.17,0.04
ESP-La Liga,2122,Osasuna,Roberto Torres,ESP,"MF,FW",32.0,28,809.0,29.0,23.7,9.0,6,76.0,0,22,16.0,10,0.96,10.0,14.0,-4.0,-0.44,-0.1,9.9,11.4,-1.5,-0.16,0.06
ESP-La Liga,2122,Osasuna,Rubén García,ESP,"FW,MF",28.0,37,2375.0,64.0,69.4,26.4,30,74.0,1,7,21.0,1,1.27,25.0,36.0,-11.0,-0.42,-0.16,25.6,27.2,-1.6,-0.06,0.49
ESP-La Liga,2122,Osasuna,Sergio Herrera,ESP,GK,28.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,1,1.28,36.0,48.0,-12.0,-0.33,0.67,36.1,42.8,-6.7,-0.19,0.46
ESP-La Liga,2122,Osasuna,Squad Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,83.0,242,175,17.0,269,1.24,37.0,51.0,-14.0,-0.37,,37.2,45.2,-8.0,-0.21,
ESP-La Liga,2122,Osasuna,Unai Dufur,ESP,DF,22.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,,5,0.0,0.0,2.0,-2.0,-2.0,-1.68,0.5,0.9,-0.4,-0.36,-0.15
ESP-La Liga,2122,Osasuna,Unai García,ESP,DF,29.0,18,1408.0,78.0,41.2,15.6,15,89.0,14,3,25.0,18,0.94,10.0,18.0,-8.0,-0.51,-0.24,10.9,16.3,-5.3,-0.34,-0.22
ESP-La Liga,2122,Osasuna,Yoel Ramírez,ESP,GK,19.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Adrian Quintela,ESP,GK,20.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Alejandro Asensio,ESP,FW,20.0,2,12.0,6.0,0.4,0.1,0,,0,2,6.0,2,0.0,0.0,0.0,0.0,0.0,0.29,1.2,0.0,1.2,9.12,9.19
ESP-La Liga,2122,Rayo Vallecano,Andrés Martín,ESP,"FW,MF",22.0,7,186.0,27.0,5.4,2.1,1,73.0,0,6,19.0,13,1.0,0.0,4.0,-4.0,-1.94,-1.74,1.5,5.3,-3.7,-1.81,-1.88
ESP-La Liga,2122,Rayo Vallecano,Bebé,CPV,"FW,MF",31.0,29,867.0,30.0,25.4,9.6,6,63.0,0,23,21.0,9,0.76,10.0,16.0,-6.0,-0.62,-0.45,13.8,13.8,0.1,0.01,0.05
ESP-La Liga,2122,Rayo Vallecano,Catena,ESP,DF,26.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.17,39.0,46.0,-7.0,-0.19,1.81,44.0,43.8,0.2,0.01,0.77
ESP-La Liga,2122,Rayo Vallecano,Esteban Saveljich,MNE,DF,30.0,21,1700.0,81.0,49.7,18.9,21,81.0,12,0,,6,1.29,22.0,20.0,2.0,0.11,0.79,23.0,22.0,0.9,0.05,0.17
ESP-La Liga,2122,Rayo Vallecano,Francisco Garcia,ESP,DF,21.0,34,3025.0,89.0,88.5,33.6,34,89.0,32,0,,2,1.21,36.0,40.0,-4.0,-0.12,1.48,40.1,41.5,-1.4,-0.04,-0.05
ESP-La Liga,2122,Rayo Vallecano,Iker Recio,ESP,DF,20.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Isaac Palazón Camacho,ESP,"FW,MF",26.0,34,2288.0,67.0,66.9,25.4,27,76.0,7,7,35.0,1,1.21,26.0,26.0,0.0,0.0,0.87,26.1,27.9,-1.8,-0.07,-0.11
ESP-La Liga,2122,Rayo Vallecano,Iván Arboleda,COL,GK,25.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Iván Balliu,ALB,DF,29.0,35,3147.0,90.0,92.0,35.0,35,90.0,34,0,,0,1.0,35.0,48.0,-13.0,-0.37,-1.03,42.0,44.9,-3.0,-0.08,-0.62
ESP-La Liga,2122,Rayo Vallecano,Jorge Moreno,ESP,DF,20.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,José Pozo,ESP,MF,25.0,5,72.0,14.0,2.1,0.8,0,,0,5,14.0,11,0.8,1.0,1.0,0.0,0.0,0.3,2.1,1.5,0.6,0.78,0.83
ESP-La Liga,2122,Rayo Vallecano,Kévin Rodrigues,POR,"DF,FW",27.0,13,435.0,33.0,12.7,4.8,5,74.0,1,8,8.0,24,1.31,3.0,13.0,-10.0,-2.07,-2.04,4.4,7.1,-2.7,-0.57,-0.61
ESP-La Liga,2122,Rayo Vallecano,Luca Zidane,FRA,"GK,MF",23.0,8,645.0,81.0,18.9,7.2,8,81.0,7,0,,29,0.13,4.0,13.0,-9.0,-1.26,-1.19,9.0,15.3,-6.3,-0.88,-1.05
ESP-La Liga,2122,Rayo Vallecano,Mamadou Sylla,SEN,"FW,MF",27.0,12,253.0,21.0,7.4,2.8,1,64.0,0,11,17.0,4,0.25,0.0,8.0,-8.0,-2.85,-2.76,4.3,6.5,-2.2,-0.79,-0.82
ESP-La Liga,2122,Rayo Vallecano,Manuel Navarro,ESP,MF,20.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Mario Hernández,ESP,"DF,FW",22.0,9,395.0,44.0,11.5,4.4,5,72.0,2,4,9.0,26,1.33,6.0,6.0,0.0,0.0,0.33,4.6,3.8,0.8,0.18,0.25
ESP-La Liga,2122,Rayo Vallecano,Mario Suárez,ESP,DF,34.0,14,712.0,51.0,20.8,7.9,8,86.0,7,6,4.0,23,1.07,5.0,15.0,-10.0,-1.26,-1.23,8.7,15.2,-6.5,-0.82,-1.0
ESP-La Liga,2122,Rayo Vallecano,Martín Merquelanz,ESP,FW,26.0,4,173.0,43.0,5.1,1.9,3,48.0,0,1,30.0,0,1.0,4.0,1.0,3.0,1.56,1.95,2.8,2.7,0.1,0.07,0.11
ESP-La Liga,2122,Rayo Vallecano,Morro,ESP,GK,20.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Nikola Maraš,SRB,DF,25.0,16,1044.0,65.0,30.5,11.6,11,87.0,9,5,18.0,17,1.25,11.0,18.0,-7.0,-0.6,-0.45,10.2,12.0,-1.8,-0.15,-0.17
ESP-La Liga,2122,Rayo Vallecano,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,248,170,21.0,245,1.11,50.0,39.0,11.0,0.29,,46.7,45.4,1.3,0.03,
ESP-La Liga,2122,Rayo Vallecano,Pathé Ciss,SEN,MF,27.0,31,1097.0,35.0,32.1,12.2,11,64.0,1,20,20.0,4,1.23,11.0,15.0,-4.0,-0.33,-0.06,15.9,16.1,-0.2,-0.02,0.03
ESP-La Liga,2122,Rayo Vallecano,Radamel Falcao,COL,FW,35.0,22,838.0,38.0,24.5,9.3,8,75.0,2,14,17.0,4,1.0,9.0,12.0,-3.0,-0.32,-0.04,12.0,12.5,-0.5,-0.06,-0.03
ESP-La Liga,2122,Rayo Vallecano,Randy Ntekja,FRA,"FW,MF",23.0,34,1462.0,43.0,42.7,16.2,16,68.0,0,18,21.0,1,1.12,19.0,20.0,-1.0,-0.06,0.4,20.5,18.7,1.8,0.11,0.26
ESP-La Liga,2122,Rayo Vallecano,Santi Comesaña,ESP,MF,24.0,35,2682.0,77.0,78.4,29.8,32,81.0,13,3,34.0,0,1.09,31.0,34.0,-3.0,-0.1,0.87,36.7,33.1,3.6,0.12,0.72
ESP-La Liga,2122,Rayo Vallecano,Sergi Guardiola,ESP,FW,30.0,32,1710.0,53.0,50.0,19.0,20,74.0,3,12,19.0,3,1.09,21.0,25.0,-4.0,-0.21,0.16,22.9,18.1,4.8,0.25,0.58
ESP-La Liga,2122,Rayo Vallecano,Sergio Moreno,ESP,FW,22.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2122,Rayo Vallecano,Squad Total,,,27.5,38,3420.0,90.0,100.0,38.0,418,81.0,238,178,20.0,224,1.11,39.0,50.0,-11.0,-0.29,,45.4,46.7,-1.3,-0.03,
ESP-La Liga,2122,Rayo Vallecano,Stole Dimitrievski,MKD,GK,27.0,31,2772.0,89.0,81.1,30.8,30,90.0,30,1,72.0,6,1.32,35.0,36.0,-1.0,-0.03,1.36,36.7,34.9,1.8,0.06,0.49
ESP-La Liga,2122,Rayo Vallecano,Unai López,ESP,MF,25.0,27,1160.0,43.0,33.9,12.9,13,67.0,3,14,21.0,0,1.37,14.0,24.0,-10.0,-0.78,-0.74,16.2,17.1,-0.8,-0.06,-0.05
ESP-La Liga,2122,Rayo Vallecano,Yacine Qasmi,MAR,MF,30.0,1,4.0,4.0,0.1,0.0,0,,0,1,4.0,8,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.39,0.42
ESP-La Liga,2122,Rayo Vallecano,Álvaro Aguirre,ESP,FW,21.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.1,-0.1,-1.17,-1.14
ESP-La Liga,2122,Rayo Vallecano,Álvaro García,ESP,FW,28.0,36,2998.0,83.0,87.7,33.3,34,86.0,24,2,31.0,0,1.14,36.0,44.0,-8.0,-0.24,0.4,42.6,40.3,2.2,0.07,0.82
ESP-La Liga,2122,Rayo Vallecano,Óscar Trejo,ARG,MF,33.0,32,2007.0,63.0,58.7,22.3,24,72.0,2,8,36.0,1,1.16,23.0,22.0,1.0,0.04,0.81,25.4,24.5,0.9,0.04,0.18
ESP-La Liga,2122,Rayo Vallecano,Óscar Valentín,ESP,MF,26.0,35,2569.0,73.0,75.1,28.5,29,82.0,13,6,30.0,2,1.11,28.0,38.0,-10.0,-0.35,-0.24,32.3,32.9,-0.6,-0.02,0.05
ESP-La Liga,2122,Real Madrid,Andriy Lunin,UKR,GK,22.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,,32,0.5,1.0,2.0,-1.0,-0.5,-1.89,3.2,5.4,-2.2,-1.12,-1.94
ESP-La Liga,2122,Real Madrid,Blanco,ESP,MF,21.0,1,31.0,31.0,0.9,0.3,0,,0,1,31.0,14,3.0,2.0,0.0,2.0,5.81,4.56,0.7,0.7,0.0,0.07,-0.66
ESP-La Liga,2122,Real Madrid,Casemiro,BRA,MF,29.0,32,2569.0,80.0,75.1,28.5,31,82.0,22,1,30.0,2,2.13,52.0,23.0,29.0,1.02,-1.1,51.1,34.5,16.6,0.58,-0.55
ESP-La Liga,2122,Real Madrid,Dani Carvajal,ESP,DF,29.0,24,1551.0,65.0,45.4,17.2,17,81.0,9,7,25.0,4,2.46,37.0,13.0,24.0,1.39,0.19,35.8,18.1,17.7,1.03,0.57
ESP-La Liga,2122,Real Madrid,Dani Ceballos,ESP,MF,24.0,11,276.0,25.0,8.1,3.1,2,80.0,1,9,13.0,6,2.64,8.0,2.0,6.0,1.96,0.73,7.7,5.6,2.2,0.7,-0.02
ESP-La Liga,2122,Real Madrid,David Alaba,AUT,DF,29.0,30,2642.0,88.0,77.3,29.4,30,88.0,27,0,,0,2.3,60.0,26.0,34.0,1.16,-0.58,53.9,32.5,21.4,0.73,0.05
ESP-La Liga,2122,Real Madrid,Diego Piñeiro,ESP,GK,17.0,0,,,,,0,,0,0,,9,,,,,,,,,,,
ESP-La Liga,2122,Real Madrid,Eden Hazard,BEL,"FW,MF",30.0,18,717.0,40.0,21.0,8.0,7,74.0,1,11,18.0,11,1.89,11.0,10.0,1.0,0.13,-1.47,13.5,8.7,4.9,0.61,-0.14
ESP-La Liga,2122,Real Madrid,Eduardo Camavinga,FRA,MF,18.0,26,1236.0,48.0,36.1,13.7,13,71.0,6,13,24.0,8,2.42,33.0,13.0,20.0,1.46,0.26,28.7,21.3,7.4,0.54,-0.28
ESP-La Liga,2122,Real Madrid,Federico Valverde,URU,MF,23.0,31,1833.0,59.0,53.6,20.4,19,83.0,11,12,21.0,2,2.26,44.0,19.0,25.0,1.23,-0.13,39.9,26.4,13.6,0.67,-0.11
ESP-La Liga,2122,Real Madrid,Ferland Mendy,FRA,DF,26.0,22,1734.0,79.0,50.7,19.3,20,84.0,14,2,24.0,2,2.36,41.0,12.0,29.0,1.51,0.44,40.3,20.7,19.6,1.02,0.6
ESP-La Liga,2122,Real Madrid,Gareth Bale,WAL,FW,32.0,5,280.0,56.0,8.2,3.1,4,66.0,0,1,17.0,8,2.2,5.0,3.0,2.0,0.64,-0.7,4.2,4.0,0.2,0.06,-0.71
ESP-La Liga,2122,Real Madrid,Isco,ESP,"MF,FW",29.0,14,331.0,24.0,9.7,3.7,3,62.0,0,11,13.0,14,2.21,11.0,2.0,9.0,2.45,1.28,7.8,4.2,3.6,0.97,0.27
ESP-La Liga,2122,Real Madrid,Jesús Vallejo,ESP,DF,24.0,5,341.0,68.0,10.0,3.8,4,83.0,3,1,8.0,26,2.0,11.0,2.0,9.0,2.38,1.21,9.2,8.1,1.0,0.27,-0.5
ESP-La Liga,2122,Real Madrid,Karim Benzema,FRA,FW,33.0,32,2593.0,81.0,75.8,28.8,31,83.0,18,1,31.0,1,2.44,64.0,23.0,41.0,1.42,0.55,57.5,30.9,26.6,0.92,0.85
ESP-La Liga,2122,Real Madrid,Latasa,ESP,FW,20.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,2,1.0,0.0,0.0,0.0,0.0,-1.29,0.3,0.2,0.1,1.09,0.38
ESP-La Liga,2122,Real Madrid,Lucas Vázquez,ESP,DF,30.0,29,1833.0,63.0,53.6,20.4,20,83.0,11,9,20.0,8,2.24,39.0,18.0,21.0,1.03,-0.56,39.0,28.1,10.8,0.53,-0.4
ESP-La Liga,2122,Real Madrid,Luis López,ESP,GK,20.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2122,Real Madrid,Luka Jović,SRB,FW,23.0,15,369.0,25.0,10.8,4.1,1,60.0,0,14,22.0,12,2.07,13.0,2.0,11.0,2.68,1.56,10.9,5.8,5.1,1.25,0.59
ESP-La Liga,2122,Real Madrid,Luka Modrić,CRO,MF,35.0,28,2032.0,73.0,59.4,22.6,25,79.0,6,3,22.0,2,2.29,47.0,20.0,27.0,1.2,-0.23,43.3,26.6,16.7,0.74,0.06
ESP-La Liga,2122,Real Madrid,Marcelo,BRA,DF,33.0,12,525.0,44.0,15.4,5.8,5,82.0,2,7,17.0,12,2.25,10.0,0.0,10.0,1.71,0.5,9.1,5.2,3.9,0.67,-0.06
ESP-La Liga,2122,Real Madrid,Marco Asensio,ESP,"FW,MF",25.0,31,1731.0,56.0,50.6,19.2,19,79.0,7,12,20.0,2,2.39,42.0,13.0,29.0,1.51,0.44,41.6,24.3,17.3,0.9,0.37
ESP-La Liga,2122,Real Madrid,Mariano,DOM,FW,27.0,9,342.0,38.0,10.0,3.8,3,77.0,1,6,19.0,15,2.11,8.0,4.0,4.0,1.05,-0.26,7.6,8.0,-0.4,-0.11,-0.92
ESP-La Liga,2122,Real Madrid,Mario Gila,ESP,DF,20.0,2,25.0,13.0,0.7,0.3,0,,0,2,13.0,1,3.0,2.0,0.0,2.0,7.2,5.95,0.7,0.1,0.6,2.05,1.34
ESP-La Liga,2122,Real Madrid,Miguel Gutiérrez,ESP,DF,20.0,3,260.0,87.0,7.6,2.9,3,87.0,1,0,,8,3.0,12.0,3.0,9.0,3.12,1.98,6.6,3.5,3.1,1.09,0.4
ESP-La Liga,2122,Real Madrid,Nacho,ESP,DF,31.0,28,1555.0,56.0,45.5,17.3,17,87.0,14,11,7.0,8,2.25,42.0,19.0,23.0,1.33,0.08,37.0,27.2,9.9,0.57,-0.27
ESP-La Liga,2122,Real Madrid,Opponent Total,,,27.6,38,3420.0,90.0,100.0,38.0,418,81.0,240,177,22.0,246,2.26,31.0,80.0,-49.0,-1.29,,47.1,74.4,-27.3,-0.72,
ESP-La Liga,2122,Real Madrid,Peter González,DOM,"MF,DF",19.0,3,27.0,9.0,0.8,0.3,0,,0,3,9.0,1,2.0,1.0,0.0,1.0,3.33,2.06,1.4,0.5,0.9,2.9,2.2
ESP-La Liga,2122,Real Madrid,Rafa,ESP,DF,19.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Real Madrid,Rodrygo,BRA,FW,20.0,33,1523.0,46.0,44.5,16.9,17,68.0,2,16,23.0,1,2.21,38.0,13.0,25.0,1.48,0.34,33.3,24.3,8.9,0.53,-0.34
ESP-La Liga,2122,Real Madrid,Sergio Santos,ESP,DF,20.0,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,0,3.0,1.0,0.0,1.0,8.18,6.91,0.5,0.4,0.1,1.01,0.29
ESP-La Liga,2122,Real Madrid,Squad Total,,,27.7,38,3420.0,90.0,100.0,38.0,418,83.0,256,163,19.0,248,2.26,80.0,31.0,49.0,1.29,,74.4,47.1,27.3,0.72,
ESP-La Liga,2122,Real Madrid,Thibaut Courtois,BEL,GK,29.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,1,2.36,79.0,29.0,50.0,1.39,1.89,71.2,41.7,29.6,0.82,1.94
ESP-La Liga,2122,Real Madrid,Toni Fuidias,ESP,GK,20.0,0,,,,,0,,0,0,,18,,,,,,,,,,,
